19#(00:16:59): 老师好。我做的是橙光游戏。

19#(00:17:34): 然后我现在游玩的是成功的线路，然后其他选项都会失败。

19#(00:18:33): 就结束了，还有一个。

T1(00:18:52): 是好结局？

19#(00:18:54): 对我其他都是坏结局。

T1(00:19:03): 橙光里面可以插视频了吗？

19#(00:19:05): 可以插。

T1(00:19:07): 你刚刚其实是有在往里面插一段视频吗？

19#(00:19:14): 之后应该会再把视频插进去。

T1(00:19:15): 对。有没有试过，比如说还是用橙光，但是把现在文字的部分用，比如说视频来代替，那它就是一个互动影游了？

19#(00:19:35): 可以展示一个失败结局。你看就是音效呀。然后就结束了。

T1(00:19:54): 我能看一你有没有做这个，我想想分歧图，你有听说过这个理念吗？

19#(00:20:02): 我有一个简单的剧剧本。

T1(00:20:04): 好。这个游戏你想要表达的主题是什么？

19#(00:20:14): 讲铜奔马，然后它变成一匹活的马，然后出去玩了一圈又跑回来的故事。

T1(00:20:25): 好。宿命论吗？

19#(00:20:32): 没有想。没有想那么多。

T1(00:20:34): 那我现在要你做这么一件事情，就是把你现在做的这个游戏当中的走势图或者走向图画一下，不管你是用手画完之后拍张照贴进来，还是你就在这个word里面画，比如说第一章讲了一个什么故事，然后他讲完之后可能会有一个选项，这两个选项分别会指到哪一个叙事模块，然后他们之间画出一个图来，一个有向的图。

19#(00:21:15): 现在画吗。

T1(00:21:17): 徒手画。

19#(00:21:21): 我让豆包帮我生一个吧。

T1(00:21:25): 还是说这个剧本其实是纯豆包写的？

19#(00:21:31): 等一下。

T1(00:21:35): 你的剧本是让豆包帮你写的。

19#(00:21:39): 是的。

T1(00:21:41): 不可以的同学，这个可能就会扣很多分，因为豆包实际上没有长链的逻辑推理能力。

T1(00:21:57): 它是没有逻辑上的连续性的。如果你的这个游戏是这样做的话，我可能会给一个高分，就是你是从顶向下，你作为总设计师，比如说你自定出一个主题，然后这个主题当中关键的人物，他的叙事弧光是如何变化的，然后为了完成这个角色的叙事弧光的变化。

